idType,id,fullname,city,age,weeksContributed,savings,isDecorated,hasChildrenInInpec,hasFamilyInPolice,hasDisciplinaryObservation,isPreRetired,blacklistDate,publicInstitution,pensionFund,characterization,gender
CC,106877649,Ervindo Osorio,Bogotá,60,200,1250.50,true,true,true,false,false,2023-06-15,Policía Nacional,Fondo de Pensiones Público,Activo,MASCULINO
TI,118530298,Felixino Mancilla,Medellín,43,180,830.00,false,false,true,true,false,2022-10-01,Policía Nacional,Fondo Privado,Activo,FEMENINO
CE,172839493,Ildefonso Ybáñez,Cali,65,220,980.75,true,true,false,false,false,2021-05-20,Policía Nacional,Fondo de Pensiones Público,Activo,MASCULINO
PA,138243587,Acelina Hernandez,Barranquilla,31,150,540.20,false,false,false,true,true,2020-12-12,Policía Nacional,Fondo Privado,Inactivo,FEMENINO
RC,127384027,Gideona Lopez,Cartagena,53,210,1350.00,true,true,true,false,false,2019-08-15,Policía Nacional,Fondo de Pensiones Público,Activo,FEMENINO
CC,145873561,Biramis Ibarra,Manizales,56,160,700.50,false,true,false,true,true,2023-02-01,Policía Nacional,Fondo Privado,Inactivo,MASCULINO
TI,153874942,Dolfina Xacarias,Pereira,38,170,910.30,true,false,true,false,false,2022-04-05,Policía Nacional,Fondo de Pensiones Público,Activo,FEMENINO
CE,164923764,Herulio Gonzalez,Bogotá,74,230,1250.00,true,true,true,false,true,2018-01-12,Policía Nacional,Fondo Privado,Activo,MASCULINO
PA,139276458,Javierito Mancilla,Bucaramanga,25,140,600.40,false,false,false,true,false,2024-07-30,Policía Nacional,Fondo Privado,Activo,FEMENINO
RC,129047635,Zebrián Osorio,Medellín,45,210,1200.75,true,true,false,false,true,2020-03-17,Policía Nacional,Fondo de Pensiones Público,Activo,MASCULINO
CC,106275648,Acelina López,Cartagena,42,160,750.00,false,true,true,false,true,2019-09-05,Policía Nacional,Fondo Privado,Activo,FEMENINO
TI,156837492,Biramis Osorio,Neiva,39,190,850.20,true,false,false,true,false,2021-11-10,Policía Nacional,Fondo de Pensiones Público,Activo,MASCULINO
CE,172638949,Felixino Ybáñez,Cúcuta,63,220,950.10,true,true,false,true,false,2022-02-20,Policía Nacional,Fondo Privado,Activo,FEMENINO
PA,137492832,Ervindo Xacarias,Tunja,41,210,700.60,true,true,true,false,false,2020-06-18,Policía Nacional,Fondo de Pensiones Público,Activo,MASCULINO
RC,140584762,Herculio Gonzalez,Armenia,69,240,1300.40,false,true,false,false,false,2018-04-09,Policía Nacional,Fondo Privado,Activo,MASCULINO
CC,149273561,Gideona Lopez,Bogotá,54,180,880.25,true,false,true,false,true,2023-03-14,Policía Nacional,Fondo de Pensiones Público,Inactivo,FEMENINO
TI,118349204,Ildefonso Ybáñez,Medellín,48,210,990.10,false,true,true,true,false,2020-07-11,Policía Nacional,Fondo Privado,Activo,MASCULINO
CE,128384902,Javierito Mancilla,Bucaramanga,26,180,630.50,true,false,false,false,true,2023-06-01,Policía Nacional,Fondo de Pensiones Público,Activo,FEMENINO
PA,156728489,Dolfina Hernandez,Cali,37,150,700.60,false,true,false,true,true,2022-10-03,Policía Nacional,Fondo Privado,Inactivo,FEMENINO
RC,145872349,Herulio Ibarra,Pereira,60,210,1150.20,true,false,true,false,false,2019-01-28,Policía Nacional,Fondo de Pensiones Público,Activo,MASCULINO
CC,140627883,Zebrián Lopez,Manizales,39,190,880.75,false,true,false,true,false,2021-08-14,Policía Nacional,Fondo Privado,Activo,MASCULINO
TI,179463028,Acelina Gonzalez,Medellín,50,200,1050.80,true,false,true,false,false,2023-05-16,Policía Nacional,Fondo de Pensiones Público,Inactivo,FEMENINO
CE,115672804,Felixino Xacarias,Cúcuta,60,230,1200.60,true,true,true,false,true,2021-02-25,Policía Nacional,Fondo Privado,Activo,MASCULINO
PA,142384903,Ervindo Lopez,Bogotá,47,180,720.25,true,false,false,true,false,2022-04-12,Policía Nacional,Fondo de Pensiones Público,Activo,FEMENINO
RC,126384759,Gideona Ibarra,Armenia,59,200,1100.40,true,true,false,false,true,2020-09-17,Policía Nacional,Fondo Privado,Activo,FEMENINO
CC,157283902,Dolfina Mancilla,Barranquilla,36,160,850.90,false,true,true,false,true,2023-01-21,Policía Nacional,Fondo de Pensiones Público,Activo,FEMENINO
TI,176932647,Herulio Osorio,Pereira,70,220,1250.00,true,false,false,true,false,2018-12-19,Policía Nacional,Fondo Privado,Inactivo,MASCULINO
CE,140573829,Ildefonso Gonzalez,Cali,64,230,950.50,true,true,false,true,true,2019-06-03,Policía Nacional,Fondo de Pensiones Público,Activo,MASCULINO
PA,118372926,Javierito Ybáñez,Medellín,27,150,640.20,false,false,true,true,false,2021-08-29,Policía Nacional,Fondo Privado,Activo,FEMENINO
RC,145762819,Dolfina Lopez,Bogotá,33,190,800.10,true,true,true,true,false,2022-12-10,Policía Nacional,Fondo de Pensiones Público,Activo,FEMENINO
CC,129384561,Herulio Hernandez,Cúcuta,48,210,1100.50,true,true,true,false,true,2020-04-21,Policía Nacional,Fondo Privado,Activo,MASCULINO
TI,160473020,Gideona Osorio,Barranquilla,54,190,950.00,false,true,false,true,true,2019-09-09,Policía Nacional,Fondo de Pensiones Público,Activo,FEMENINO
CE,128573926,Felixino Mancilla,Manizales,41,210,970.75,true,false,true,true,false,2022-11-01,Policía Nacional,Fondo Privado,Activo,MASCULINO
PA,173894052,Ervindo Lopez,Cali,45,200,880.60,true,true,true,false,true,2023-05-17,Policía Nacional,Fondo de Pensiones Público,Activo,MASCULINO
RC,153284692,Zebrián Xacarias,Medellín,60,220,1200.10,true,false,false,true,false,2018-03-12,Policía Nacional,Fondo Privado,Inactivo,MASCULINO
